gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
52,The Square Root of 2,"Kerr, Stan",40,en,Mathematics,Public domain in the USA.,true
53,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",Library of Congress,41,en,,Public domain in the USA.,true
54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy,Public domain in the USA.,true
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy,Public domain in the USA.,true
56,NREN for All: Insurmountable Opportunity,"Polly, Jean Armour",38,en,,Copyrighted. Read the copyright notice inside this book for details.,true
57,Aladdin and the Magic Lamp,Unknown,49,en,,Public domain in the USA.,true
58,Paradise Regained,"Milton, John",17,en,,Public domain in the USA.,true
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"Descartes, René",44,en,Harvard Classics/Philosophy,Public domain in the USA.,true
60,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness",45,en,Adventure/Best Books Ever Listings/Movie Books,Public domain in the USA.,true
61,The Communist Manifesto,"Marx, Karl",46,en,Politics/Philosophy/Banned Books from Anne Haight's list,Public domain in the USA.,true
61,The Communist Manifesto,"Engels, Friedrich",47,en,Politics/Philosophy/Banned Books from Anne Haight's list,Public domain in the USA.,true
62,A Princess of Mars,"Burroughs, Edgar Rice",48,en,Best Books Ever Listings/Science Fiction,Public domain in the USA.,true
63,"The Number ""e""",Unknown,49,en,Historical Fiction,Public domain in the USA.,true
64,The Gods of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,true
65,"The First 100,000 Prime Numbers",Unknown,49,en,,Public domain in the USA.,true
66,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,"Joly, Norman F.",50,en,,Copyrighted. Read the copyright notice inside this book for details.,true
67,The Black Experience in America,"Coombs, Norman",51,en,,Copyrighted. Read the copyright notice inside this book for details.,true
68,The warlord of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,true
69,"The 32nd Mersenne Prime
Predicted by Mersenne","Slowinski, David",52,en,Mathematics,Public domain in the USA.,true
70,What Is Man? and Other Essays,"Twain, Mark",53,en,,Public domain in the USA.,true
71,On the Duty of Civil Disobedience,"Thoreau, Henry David",54,en,,Public domain in the USA.,true
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,true
73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",55,en,"US Civil War/Historical Fiction/Best Books Ever Listings/Bestsellers, American, 1895-1923",Public domain in the USA.,true
74,"The Adventures of Tom Sawyer, Complete","Twain, Mark",53,en,Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,true
75,E-mail 101,"Goodwin, John E.",56,en,,Copyrighted. Read the copyright notice inside this book for details.,true
76,Adventures of Huckleberry Finn,"Twain, Mark",53,en,Best Books Ever Listings/Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,true
77,The House of the Seven Gables,"Hawthorne, Nathaniel",28,en,Best Books Ever Listings,Public domain in the USA.,true
78,Tarzan of the Apes,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,true
79,Terminal Compromise,"Schwartau, Winn",57,en,,Copyrighted. Read the copyright notice inside this book for details.,true
80,The Online World,"De Presno, Odd",58,en,,Copyrighted. Read the copyright notice inside this book for details.,true
81,The Return of Tarzan,"Burroughs, Edgar Rice",48,en,,Public domain in the USA.,true
82,Ivanhoe: A Romance,"Scott, Walter",59,en,Best Books Ever Listings/Historical Fiction,Public domain in the USA.,true
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules",60,en,Movie Books/Science Fiction,Public domain in the USA.,true
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",61,en,Precursors of Science Fiction/Gothic Fiction/Movie Books/Science Fiction by Women,Public domain in the USA.,true
85,The Beasts of Tarzan,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,true
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",53,en,Precursors of Science Fiction/Arthurian Legends,Public domain in the USA.,true
87,The 1993 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks,Public domain in the USA.,true
88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,"Hart, Michael",958,en,,Public domain in the USA.,true
89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",Canada,62,en,,Public domain in the USA.,true
90,The Son of Tarzan,"Burroughs, Edgar Rice",48,en,Adventure/Movie Books/Contemporary Reviews,Public domain in the USA.,true
91,Tom Sawyer Abroad,"Twain, Mark",53,en,,Public domain in the USA.,true
92,Tarzan and the Jewels of Opar,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,true
93,"Tom Sawyer, Detective","Twain, Mark",53,en,,Public domain in the USA.,true
94,Alexander's Bridge,"Cather, Willa",22,en,,Public domain in the USA.,true
95,The Prisoner of Zenda,"Hope, Anthony",63,en,"Adventure/Best Books Ever Listings/Movie Books/Bestsellers, American, 1895-1923",Public domain in the USA.,true
96,The Monster Men,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,true
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Science Fiction/Mathematics,Public domain in the USA.,true
98,A Tale of Two Cities,"Dickens, Charles",37,en,Historical Fiction,Public domain in the USA.,true
99,Collected Articles of Frederick Douglass,"Douglass, Frederick",34510,en,African American Writers/Slavery,Public domain in the USA.,true
100,The Complete Works of William Shakespeare,"Shakespeare, William",65,en,Plays,Public domain in the USA.,true
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",66,en,,Copyrighted. Read the copyright notice inside this book for details.,true
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",53,en,,Public domain in the USA.,true
103,Around the World in Eighty Days,"Verne, Jules",60,en,Adventure/Best Books Ever Listings/Movie Books,Public domain in the USA.,true
104,"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933","Roosevelt, Franklin D. (Franklin Delano)",67,en,,Public domain in the USA.,true
105,Persuasion,"Austen, Jane",68,en,,Public domain in the USA.,true
106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,true
107,Far from the Madding Crowd,"Hardy, Thomas",23,en,,Public domain in the USA.,true
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",69,en,Detective Fiction,Public domain in the USA.,true
109,"Renascence, and Other Poems","Millay, Edna St. Vincent",70,en,,Public domain in the USA.,true
110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",23,en,Banned Books from Anne Haight's list,Public domain in the USA.,true
111,Freckles,"Stratton-Porter, Gene",71,en,,Public domain in the USA.,true
112,Violists,"McGowan, Richard",72,en,,Copyrighted. Read the copyright notice inside this book for details.,true
113,The Secret Garden,"Burnett, Frances Hodgson",73,en,Children's Literature,Public domain in the USA.,true
114,The Tenniel Illustrations for Carroll's Alice in Wonderland,"Tenniel, John",74,en,,Public domain in the USA.,true
115,United States Census Figures Back to 1630,United States. Bureau of the Census,25,en,,Public domain in the USA.,true
116,Motion Pictures of the Apollo 11 Lunar Landing,United States,1,en,,Public domain in the USA.,true
117,Symphony No. 5 in C minor Opus 67,"Beethoven, Ludwig van",75,en,,Copyrighted. Read the copyright notice inside this book for details.,true
118,Big Dummy's Guide to the Internet,Electronic Frontier Foundation,76,en,,Copyrighted. Read the copyright notice inside this book for details.,true
119,A Tramp Abroad,"Twain, Mark",53,en,,Public domain in the USA.,true
120,Treasure Island,"Stevenson, Robert Louis",35,en,"Children's Literature/Historical Fiction/Best Books Ever Listings/Pirates, Buccaneers, Corsairs, etc.",Public domain in the USA.,true
121,Northanger Abbey,"Austen, Jane",68,en,Gothic Fiction,Public domain in the USA.,true
122,The Return of the Native,"Hardy, Thomas",23,en,,Public domain in the USA.,true
123,At the Earth's Core,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,true
124,"Deuterocanonical Books of the Bible
Apocrypha",Anonymous,216,en,Christianity,Public domain in the USA.,true
125,A Girl of the Limberlost,"Stratton-Porter, Gene",71,en,,Public domain in the USA.,true
126,The Poison Belt,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,true
127,"The Number ""e""","Nemiroff, Robert J.",77,en,Mathematics,Public domain in the USA.,true
127,"The Number ""e""","Bonnell, Jerry T.",78,en,Mathematics,Public domain in the USA.,true
128,The Arabian Nights Entertainments,"Lang, Andrew",79,en,,Public domain in the USA.,true
129,The Square Root of 2,"Nemiroff, Robert J.",77,en,Mathematics,Public domain in the USA.,true
129,The Square Root of 2,"Bonnell, Jerry T.",78,en,Mathematics,Public domain in the USA.,true
130,Orthodoxy,"Chesterton, G. K. (Gilbert Keith)",80,en,Christianity,Public domain in the USA.,true
131,"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",81,en,Harvard Classics/Christianity,Public domain in the USA.,true
132,The Art of War,"Sunzi, active 6th century B.C.",4349,en,,Public domain in the USA.,true
133,The Damnation of Theron Ware,"Frederic, Harold",83,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,true
134,"Maria; Or, The Wrongs of Woman","Wollstonecraft, Mary",84,en,,Public domain in the USA.,true
135,Les Misérables,"Hugo, Victor",85,en,Historical Fiction/Banned Books from Anne Haight's list,Public domain in the USA.,true
136,A Child's Garden of Verses,"Stevenson, Robert Louis",35,en,,Public domain in the USA.,true
137,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School","Burnett, Frances Hodgson",73,en,School Stories,Public domain in the USA.,true
138,George Sand: Some Aspects of Her Life and Writings,"Doumic, René",86,en,,Public domain in the USA.,true
139,The Lost World,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,true
140,The Jungle,"Sinclair, Upton",88,en,"Contemporary Reviews/Bestsellers, American, 1895-1923/Banned Books from Anne Haight's list/Banned Books List from the American Library Association",Public domain in the USA.,true
141,Mansfield Park,"Austen, Jane",68,en,,Public domain in the USA.,true
142,"The $30,000 Bequest, and Other Stories","Twain, Mark",53,en,,Public domain in the USA.,true
143,The Mayor of Casterbridge,"Hardy, Thomas",23,en,,Public domain in the USA.,true
144,The Voyage Out,"Woolf, Virginia",89,en,,Public domain in the USA.,true
145,Middlemarch,"Eliot, George",90,en,Best Books Ever Listings/Historical Fiction,Public domain in the USA.,true
146,"A Little Princess
Being the whole story of Sara Crewe now told for the first time","Burnett, Frances Hodgson",73,en,Children's Literature/School Stories,Public domain in the USA.,true
147,Common Sense,"Paine, Thomas",91,en,,Public domain in the USA.,true
148,The Autobiography of Benjamin Franklin,"Franklin, Benjamin",92,en,Harvard Classics,Public domain in the USA.,true
149,The Lost Continent,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,true
150,The Republic,Plato,93,en,,Public domain in the USA.,true
151,The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",95,en,,Public domain in the USA.,true
152,Wild Justice,"Sprague, Ruth M.",96,en,,Copyrighted. Read the copyright notice inside this book for details.,true
153,Jude the Obscure,"Hardy, Thomas",23,en,Banned Books from Anne Haight's list,Public domain in the USA.,true
154,The Rise of Silas Lapham,"Howells, William Dean",97,en,Contemporary Reviews,Public domain in the USA.,true
155,The Moonstone,"Collins, Wilkie",98,en,Detective Fiction/Mystery Fiction,Public domain in the USA.,true
156,"Symphony No. 5 in C minor, Opus 67","Beethoven, Ludwig van",75,en,,Copyrighted. Read the copyright notice inside this book for details.,true
157,Daddy-Long-Legs,"Webster, Jean",99,en,School Stories,Public domain in the USA.,true
158,Emma,"Austen, Jane",68,en,,Public domain in the USA.,true
159,The island of Doctor Moreau,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Best Books Ever Listings/Movie Books,Public domain in the USA.,true
160,"The Awakening, and Selected Short Stories","Chopin, Kate",100,en,Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,true
161,Sense and Sensibility,"Austen, Jane",68,en,,Public domain in the USA.,true
162,Take Me for a Ride: Coming of Age in a Destructive Cult,"Laxer, Mark E.",101,en,,Copyrighted. Read the copyright notice inside this book for details.,true
163,Flower Fables,"Alcott, Louisa May",102,en,Children's Literature,Public domain in the USA.,true
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",60,en,Science Fiction,Public domain in the USA.,true
165,McTeague: A Story of San Francisco,"Norris, Frank",103,en,,Public domain in the USA.,true
166,Summer,"Wharton, Edith",104,en,,Public domain in the USA.,true
167,American Hand Book of the Daguerreotype,"Humphrey, S. D. (Samuel Dwight)",105,en,Art/Photography,Public domain in the USA.,true
168,The History and Practice of the Art of Photography,"Snelling, Henry Hunt",106,en,Art/Photography,Public domain in the USA.,true
169,The Well at the World's End: A Tale,"Morris, William",107,en,Fantasy,Public domain in the USA.,true
170,The Haunted Hotel: A Mystery of Modern Venice,"Collins, Wilkie",98,en,,Public domain in the USA.,true
171,Charlotte Temple,"Rowson, Mrs.",108,en,,Public domain in the USA.,true
172,The Haunted Bookshop,"Morley, Christopher",109,en,Bibliomania,Public domain in the USA.,true
173,The Insidious Dr. Fu Manchu,"Rohmer, Sax",110,en,Crime Fiction,Public domain in the USA.,true
174,The Picture of Dorian Gray,"Wilde, Oscar",111,en,Gothic Fiction/Movie Books,Public domain in the USA.,true
175,The Phantom of the Opera,"Leroux, Gaston",112,en,Opera/Gothic Fiction/Movie Books,Public domain in the USA.,true
176,Roderick Hudson,"James, Henry",113,en,,Public domain in the USA.,true
177,The American,"James, Henry",113,en,,Public domain in the USA.,true
178,Confidence,"James, Henry",113,en,,Public domain in the USA.,true
179,The Europeans,"James, Henry",113,en,,Public domain in the USA.,true
180,The 1994 CIA World Factbook,United States. Central Intelligence Agency,8,en,CIA World Factbooks,Public domain in the USA.,true
181,The Project Gutenberg RST Manual,"Perathoner, Marcello",36966,en,,Public domain in the USA.,true
200,"The Project Gutenberg Encyclopedia, Volume 1 of 28",Project Gutenberg,114,en,Reference,Public domain in the USA.,true
201,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Science Fiction/Mathematics,Public domain in the USA.,true
202,My Bondage and My Freedom,"Douglass, Frederick",34510,en,African American Writers/Slavery,Public domain in the USA.,true
203,Uncle Tom's Cabin,"Stowe, Harriet Beecher",115,en,US Civil War/Slavery/Banned Books from Anne Haight's list,Public domain in the USA.,true
204,The Innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,Detective Fiction,Public domain in the USA.,true
205,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",54,en,,Public domain in the USA.,true
206,"The Martin Luther King, Jr. Day, 1995, Memorial Issue",Various,116,en,,Public domain in the USA.,true
207,The Spell of the Yukon and Other Verses,"Service, Robert W. (Robert William)",117,en,Canada,Public domain in the USA.,true
208,Daisy Miller: A Study,"James, Henry",113,en,,Public domain in the USA.,true
209,The Turn of the Screw,"James, Henry",113,en,Opera/Best Books Ever Listings/Horror/Gothic Fiction,Public domain in the USA.,true
210,An International Episode,"James, Henry",113,en,,Public domain in the USA.,true
211,The Aspern Papers,"James, Henry",113,en,,Public domain in the USA.,true
212,A List of Factorial Math Constants,Unknown,49,en,Mathematics,Public domain in the USA.,true
213,The Man from Snowy River,"Paterson, A. B. (Andrew Barton)",118,en,Australia,Public domain in the USA.,true
214,"In the Days When the World Was Wide, and Other Verses","Lawson, Henry",119,en,Australia,Public domain in the USA.,true
215,The call of the wild,"London, Jack",120,en,Animals-Domestic/Adventure/Best Books Ever Listings/Movie Books/Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,true
216,"The Tao Teh King, or the Tao and its Characteristics",Laozi,2427,en,Paganism,Public domain in the USA.,true
217,Sons and Lovers,"Lawrence, D. H. (David Herbert)",123,en,Best Books Ever Listings/Banned Books from Anne Haight's list/Banned Books List from the American Library Association,Public domain in the USA.,true
218,"C. Iuli Caesaris De Bello Gallico, I-IV","Caesar, Julius",3621,la,Classical Antiquity,Public domain in the USA.,true
219,Heart of Darkness,"Conrad, Joseph",125,en,Best Books Ever Listings/Movie Books,Public domain in the USA.,true
220,The Secret Sharer,"Conrad, Joseph",125,en,,Public domain in the USA.,true
221,The Return of Sherlock Holmes,"Doyle, Arthur Conan",69,en,Detective Fiction,Public domain in the USA.,true
222,The Moon and Sixpence,"Maugham, W. Somerset (William Somerset)",126,en,Contemporary Reviews,Public domain in the USA.,true
223,The Wisdom of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,Detective Fiction,Public domain in the USA.,true
224,A pair of blue eyes,"Hardy, Thomas",23,en,,Public domain in the USA.,true
225,At the Back of the North Wind,"MacDonald, George",127,en,Children's Literature,Public domain in the USA.,true
226,Cicero's Orations,"Cicero, Marcus Tullius",128,la,Classical Antiquity,Public domain in the USA.,true
227,Aeneidos,Virgil,129,la,Classical Antiquity/Best Books Ever Listings/Harvard Classics,Public domain in the USA.,true
228,The Aeneid,Virgil,129,en,Classical Antiquity/Best Books Ever Listings/Poetry/Harvard Classics,Public domain in the USA.,true
229,The Bucolics and Eclogues,Virgil,129,la,Classical Antiquity,Public domain in the USA.,true
230,The Bucolics and Eclogues,Virgil,129,en,Classical Antiquity,Public domain in the USA.,true
231,Georgicon,Virgil,129,la,Classical Antiquity,Public domain in the USA.,true
232,The Georgics,Virgil,129,en,,Public domain in the USA.,true
233,Sister Carrie: A Novel,"Dreiser, Theodore",130,en,,Public domain in the USA.,true
234,Child Christopher and Goldilind the Fair,"Morris, William",107,en,Fantasy,Public domain in the USA.,true
235,William Gibson Interviewed,"Salza, Giuseppe",131,en,,Copyrighted. Read the copyright notice inside this book for details.,true
236,The Jungle Book,"Kipling, Rudyard",132,en,Scouts/Children's Literature/Movie Books/Contemporary Reviews,Public domain in the USA.,true
237,Sexti Properti Elegiarvm: Liber Primvs,"Propertius, Sextus",133,la,,Public domain in the USA.,true
238,Dear Enemy,"Webster, Jean",99,en,"Bestsellers, American, 1895-1923",Public domain in the USA.,true
239,Radar Map of the United States,United States,1,en,,Public domain in the USA.,true
240,Stories from the Old Attic,"Harris, Robert A. (Robert Alan)",134,en,,Copyrighted. Read the copyright notice inside this book for details.,true
241,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter","Brown, William Wells",135,en,African American Writers,Public domain in the USA.,true
242,My Ántonia,"Cather, Willa",22,en,,Public domain in the USA.,true
243,"The Forged Coupon, and Other Stories","Tolstoy, Leo, graf",136,en,,Public domain in the USA.,true
244,A Study in Scarlet,"Doyle, Arthur Conan",69,en,Detective Fiction,Public domain in the USA.,true
245,Life on the Mississippi,"Twain, Mark",53,en,,Public domain in the USA.,true
246,The Rubaiyat of Omar Khayyam,Omar Khayyam,1787,en,,Public domain in the USA.,true
247,Webster's Unabridged Dictionary (1st 100 Pages),"Webster, Noah",139,en,,Public domain in the USA.,true
248,Webster's Unabridged Dictionary (2nd 100 Pages),"Webster, Noah",139,en,,Public domain in the USA.,true
249,French Cave Paintings,,,en,,Copyrighted. Read the copyright notice inside this book for details.,true
250,"A Brief History of the Internet
The Bright Side: The Dark Side","Hart, Michael",958,en,,Copyrighted. Read the copyright notice inside this book for details.,true
250,"A Brief History of the Internet
The Bright Side: The Dark Side","Fuller, Maxwell",42312,en,,Copyrighted. Read the copyright notice inside this book for details.,true
251,1995 United States Congressional Address Book,United States,1,en,,Public domain in the USA.,true
252,"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",United States,1,en,,Public domain in the USA.,true
252,"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",Library of Congress. Copyright Office,141,en,,Public domain in the USA.,true
253,The Universal Copyright Convention (1988),Coalition for Networked Information,142,en,,Copyrighted. Read the copyright notice inside this book for details.,true
254,"The Second Story of Meno
A Continuation of Socrates' Dialogue with Meno in Which the Boy Proves Root 2 is Irrational",Unknown,49,en,,Copyrighted. Read the copyright notice inside this book for details.,true
255,"QREAD, Etext Reader for Windows","Scavezze, Dan",143,en,,Copyrighted. Read the copyright notice inside this book for details.,true
256,Motion Picture of Rotating Earth,United States,1,en,,Public domain in the USA.,true
257,Troilus and Criseyde,"Chaucer, Geoffrey",144,en,,Public domain in the USA.,true
258,Poems by Adam Lindsay Gordon,"Gordon, Adam Lindsay",145,en,,Public domain in the USA.,true
259,Ballads of a Cheechako,"Service, Robert W. (Robert William)",117,en,,Public domain in the USA.,true
260,An Introduction to the Study of Robert Browning's Poetry,"Browning, Robert",146,en,,Public domain in the USA.,true
260,An Introduction to the Study of Robert Browning's Poetry,"Corson, Hiram",31707,en,,Public domain in the USA.,true
261,A Dome of Many-Coloured Glass,"Lowell, Amy",147,en,Poetry,Public domain in the USA.,true
262,The Collected Poems of Rupert Brooke,"Brooke, Rupert",148,en,Poetry,Public domain in the USA.,true
263,"Trees, and Other Poems","Kilmer, Joyce",149,en,,Public domain in the USA.,true
264,"Main Street, and Other Poems","Kilmer, Joyce",149,en,,Public domain in the USA.,true
265,The Life and Death of Cormac the Skald,,,en,,Public domain in the USA.,true
266,"Confessio Amantis; Or, Tales of the Seven Deadly Sins","Gower, John",150,en,,Public domain in the USA.,true
267,The Touchstone,"Wharton, Edith",104,en,,Public domain in the USA.,true
268,The Octopus : A Story of California,"Norris, Frank",103,en,,Public domain in the USA.,true
269,Beasts and Super-Beasts,Saki,152,en,,Public domain in the USA.,true
